"","x"
"749","Mfn2"
"750","Slc25a33"
"751","Aes"
"752","Ccl6"
"753","F3"
"754","Ttc12"
"755","Suox"
"756","Prdx6"
"757","Hint3"
"758","Crebl2"
"759","Mmaa"
"760","Dars"
"761","Gm1818"
"762","Ube2ql1"
"763","Immp1l"
"764","Kcmf1"
"765","Etfdh"
"766","Cyp26b1"
"767","Tollip"
"768","Gns"
"769","Rprd1a"
"770","Gfra1"
"771","Clstn1"
"772","Csrnp1"
"773","Socs3"
"774","Heatr5a"
"775","Lgmn"
"776","Gstp1"
"777","2610507B11Rik"
"778","Dtnbp1"
"779","Apod"
"780","Echdc3"
"781","Nus1"
"782","Ddt,Gm20441,Gstt3"
"783","Zc3h12a"
"784","Aldoa"
"785","Gm9846"
"786","Ap1s2"
"787","2310016M24Rik"
"788","Mrpl41"
"789","1500011K16Rik"
"790","Ubl3"
"791","Ethe1"
"792","Rwdd4a"
"793","Gpm6b"
"794","Ifngr1"
"795","B3galnt2"
"796","Kpna1"
"797","Mrps14"
"798","Epm2a"
"799","Dlst"
"800","6030419C18Rik"
"801","Prkar2a"
"802","Akt2-ps"
"803","Ghitm"
"804","Ppip5k1"
"805","Itgb2"
"806","Kcna7"
"807","Cnst"
"808","Eno3"
"809","Gm11560"
"810","Cyp2d22"
"811","Enpp4"
"812","Vegfb"
"813","6530418L21Rik"
"814","Akr1b3"
"815","Nomo1"
"816","Aen"
"817","Slc16a1"
"818","Gm20425,Srprb,Trf"
"819","D17H6S56E-3"
"820","2410131K14Rik"
"821","Cmklr1"
"822","Apbb1"
"823","Dusp1"
"824","Impact"
"825","Pcgf5"
"826","Gm4631"
"827","Kcnd3"
"828","Rplp2-ps1"
"829","Acy3"
"830","Dnajc16"
"831","Sorl1"
"832","Lactb"
"833","Dsp"
"834","Retsat"
"835","Adcy1"
"836","Cab39l"
"837","Mmachc"
"838","Slc27a1"
"839","2900064A13Rik"
"840","Id1"
"841","Pgap2"
"842","Calr3"
"843","Trim7"
"844","Dcxr"
"845","AK157302"
"846","Mafk"
"847","Mrap2"
"848","Ppara"
"849","Rgma"
"850","Abcd1"
"851","Cdk18"
"852","Gm8898"
"853","Higd1a"
"854","Ddx24"
"855","Dnajc15"
"856","Car8"
"857","Sbk1"
"858","Obfc2a"
"859","Uqcr11"
"860","Clpp"
"861","Prdx3"
"862","Dbt"
"863","Ctsh"
"864","Itgbl1"
"865","Slc46a3"
"866","Dnajb2"
"867","Map1lc3a"
"868","Fktn"
"869","Enpp2"
"870","Fech"
"871","Atp6v1g1"
"872","Tcta"
"873","Kitl"
"874","4930529M08Rik"
"875","Mrpl23-ps1"
"876","Wwp1"
"877","Ndufb11"
"878","Igkc"
"879","Trappc5"
"880","Ptgfr"
"881","Laptm5"
"882","Ahsa1"
"883","Tnfaip2"
"884","Gcap14"
"885","Kif21a"
"886","Kpna4"
"887","Tmbim4"
"888","Mfsd6"
"889","Hist1h1c"
"890","Ankrd40"
"891","Atf5"
"892","Scly"
"893","Gbp6"
"894","Ak4"
"895","Cbr4"
"896","Mmgt1"
"897","Hivep2"
"898","Atp5c1"
"899","Mtfr1"
"900","Magi2"
"901","Ptprn2"
"902","Oas2"
"903","Ifi27l2a,Ifi27l2b"
"904","Uqcrb"
"905","Fbln1"
"906","Lrp5"
"907","Cdnf"
"908","Ttc30b"
"909","Nod1"
"910","Rnf150"
"911","Cyp27a1"
"912","Cox6c"
"913","Znfx1"
"914","Tnfsf10"
"915","Wipf3"
"916","Ppp2r3a"
"917","Acss2"
"918","Nt5e"
"919","Gm14680"
"920","Spnb1"
"921","2410015M20Rik"
"922","Mmadhc"
"923","Cisd2"
"924","Ccrl2"
"925","1810049H13Rik"
"926","Sepp1"
"927","Gm6419"
"928","Zfp809"
"929","Rb1cc1"
"930","Atp5s"
"931","Cyc1"
"932","Grb14"
"933","Kcna5"
"934","Nbl1"
"935","Mlycd"
"936","5430435G22Rik"
"937","Gm12141"
"938","Otud1"
"939","Fxyd6"
"940","Tmem117"
"941","Ctss"
"942","Pde4c"
