"","x"
"672","Renbp"
"673","Dhcr7"
"674","E2f8"
"675","Cep164"
"676","Hn1"
"677","Vim"
"678","Ccdc34"
"679","Cplx2"
"680","Ypel1"
"681","Nbea"
"682","Mcm7"
"683","Tnrc18"
"684","Gm10043"
"685","Ssbp2"
"686","Thbs4"
"687","Psrc1"
"688","Dock7"
"689","Arhgap19"
"690","Ckap2l"
"691","Ptprt"
"692","Cyth3"
"693","Rnf122"
"694","Zfp711"
"695","Mpzl1"
"696","Lama4"
"697","Pbk"
"698","Pbx1"
"699","Cacna1g"
"700","Tmem44"
"701","Zfp57"
"702","Clca1"
"703","Ebf3"
"704","Nhsl2"
"705","Rabgap1l"
"706","Myl7"
"707","Slc8a1"
"708","Wdr72"
"709","Snhg5"
"710","Cirbp"
"711","Gpr137b"
"712","Cldn5"
"713","Fancd2"
"714","Pcgf2"
"715","Tssc1"
"716","Alcam"
"717","Igf2r"
"718","Casc4"
"719","Src"
"720","5033428I22Rik"
"721","Mad2l1"
"722","Stfa2l1"
"723","Cdon"
"724","Gprasp2"
"725","Abhd14a"
"726","Shmt1"
"727","Eml4"
"728","Shf"
"729","Rad54l"
"730","Kif2c"
"731","Ap1s3"
"732","Nfya"
"733","Peg10"
"734","Rbm28"
"735","Tspan9"
"736","Bbs9"
"737","Hmg20a"
"738","Atpif1"
"739","Sall1"
"740","Atg10"
"741","Katnal2"
"742","Dennd1a"
"743","Coro1c"
"744","Nhsl1"
"745","Vrk1"
"746","Espl1"
"747","Tuba1a"
"748","D18Ertd653e"
"749","Txnip"
"750","Eif4ebp1"
"751","Entpd1"
"752","Med27"
"753","Gm1337"
"754","Ccnd1"
"755","Atp8b2"
"756","Zdbf2"
"757","Gm18733"
"758","Stard4"
"759","Sephs1"
"760","Lyn"
"761","Sfpq"
"762","Casz1"
"763","Gm6377,Sh3bgrl"
"764","Ttyh2"
"765","Trim44"
"766","8430427H17Rik"
"767","Hnrnpd"
"768","Actn4"
"769","Hdac8"
"770","Mrps10"
"771","Mdfi"
"772","Bbs7"
"773","Ophn1"
"774","Sfxn2"
"775","Nfe2l3"
"776","Tceal5"
"777","Unc5b"
"778","Kdm6b"
"779","BC052040"
"780","Matn4"
"781","Eps8"
"782","Gm17684"
"783","Hsd17b7"
"784","Ppia"
"785","Prkce"
"786","Adamts3"
"787","Exoc4"
"788","Basp1"
"789","Grik3"
"790","Astn2"
"791","Nov"
"792","Ugcg"
"793","Rad18"
"794","Pth1r"
"795","Ezr"
